Created_at;Fakultas;Tahun;Tahun Data;Anggaran;Serapan;id;kodeunit;namaunit;bulan;jumlah;tahun;created_at
18/09/2023 10:29;FKG;2020;01/01/2020;10834774500;10023901547;18;10200;FKG;6;1914847946;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2019;01/01/2019;9933332188;9713613896;18;10200;FKG;6;1914847946;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2023;01/01/2023;17093574138;8177689226;19;10200;FKG;7;1381364989;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2022;01/01/2022;29691256306;14520690015;19;10200;FKG;7;1381364989;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2021;01/01/2021;12078204075;10201100211;19;10200;FKG;7;1381364989;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2020;01/01/2020;10834774500;10023901547;19;10200;FKG;7;1381364989;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2019;01/01/2019;9933332188;9713613896;19;10200;FKG;7;1381364989;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2023;01/01/2023;17093574138;8177689226;20;10200;FKG;8;960893249;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2022;01/01/2022;29691256306;14520690015;20;10200;FKG;8;960893249;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2021;01/01/2021;12078204075;10201100211;20;10200;FKG;8;960893249;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2020;01/01/2020;10834774500;10023901547;20;10200;FKG;8;960893249;2019;18/09/2023 10:27
18/09/2023 10:29;FKG;2019;01/01/2019;9933332188;9713613896;20;10200;FKG;8;960893249;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2023;01/01/2023;17093574138;8177689226;21;10200;FKG;9;1643076266;2019;18/09/2023 10:27
18/09/2023 10:30;FKG;2022;01/01/2022;29691256306;14520690015;21;10200;FKG;9;1643076266;2019;18/09/2023 10:27
